epoch,accuracy,loss,val_accuracy,val_loss
0,0.11720443516969681,3.4558675289154053,0.064453125,3.242149829864502
1,0.23020023107528687,2.737241268157959,0.1279296875,3.0058066844940186
2,0.2721591591835022,2.5215563774108887,0.1162109375,3.129129409790039
3,0.30927178263664246,2.3917789459228516,0.1572265625,2.9146711826324463
4,0.3157760500907898,2.3484160900115967,0.2001953125,2.797006845474243
5,0.33834969997406006,2.2796852588653564,0.2275390625,2.7023472785949707
6,0.34383368492126465,2.2571046352386475,0.2060546875,2.758053779602051
7,0.35569441318511963,2.1951632499694824,0.23046875,2.773179292678833
8,0.3643667995929718,2.155984878540039,0.2509765625,2.6174559593200684
9,0.37316668033599854,2.165341854095459,0.224609375,2.7568202018737793
10,0.4018619954586029,2.0540931224823,0.25390625,2.5847067832946777
11,0.40033158659935,2.038379669189453,0.228515625,2.6935322284698486
