epoch,accuracy,loss,val_accuracy,val_loss
0,0.5075883269309998,1.7204620838165283,0.6015625,1.28840172290802
1,0.6561663150787354,1.1703860759735107,0.6005859375,1.2545239925384521
2,0.6949368715286255,1.022775411605835,0.5732421875,1.3582340478897095
3,0.7266930341720581,0.8939958810806274,0.6513671875,1.221339225769043
4,0.7487565279006958,0.820696234703064,0.66015625,1.1508941650390625
5,0.7551332712173462,0.7989091873168945,0.671875,1.1589713096618652
6,0.7599796056747437,0.7868028283119202,0.671875,1.158451795578003
7,0.783190906047821,0.7043828964233398,0.666015625,1.2697609663009644
8,0.7835735082626343,0.6846477389335632,0.6455078125,1.4533722400665283
9,0.7884198427200317,0.6746898889541626,0.6435546875,1.308828592300415
