epoch,accuracy,loss,val_accuracy,val_loss
0,0.534243106842041,1.8821849822998047,0.42578125,2.2079052925109863
1,0.7023338675498962,1.1634467840194702,0.556640625,1.7552536725997925
2,0.7664838433265686,0.9080703258514404,0.5546875,1.7830129861831665
3,0.8042341470718384,0.7620666027069092,0.6328125,1.4628392457962036
4,0.8176252841949463,0.7012152671813965,0.634765625,1.455148696899414
5,0.8487437963485718,0.5876222252845764,0.609375,1.6557624340057373
6,0.859711766242981,0.5482574105262756,0.681640625,1.3242104053497314
7,0.874123215675354,0.5071117281913757,0.6220703125,1.6696974039077759
8,0.8895549178123474,0.44867420196533203,0.6416015625,1.6034290790557861
9,0.8973345160484314,0.4128569960594177,0.693359375,1.1962774991989136
